"id","api_meta_type","base_url","identifier_type","identifier_code","is_token_required","site_token","proxy_host_url","external_library_url","is_paginated","page_number","provider_id","email_notification_id","pull_switch"
4,Chorus,https://api.chorusaccess.org,usda_funder_id,"100000199",0,,programs-cbo.nal.usda.gov,"",0,,1,,
5,CrossRef,https://api.crossref.org,usda_funder_id,"100000199",1,gAAAAABmUbNLkKr_jrC9W5b5arLOFfEKIft_6F5wmJJ8afsun9GuzFa9E2_p0-aE30M3HN-8wDDSiSMLS0RVbhrtIMWWS_flrZ-LeQ7d6XSJVWY3YPy3ybgAOUSI0fnDSpfW2wEXULRBzsi2zuML08jEXRKltHa9PpYsJCeyqylPl_evsLw0kZh2IvyowCOe7MgaoCINHTmuE3aySIsmfgAcvoM0wr4q2tAIrKIHAnwtb6IpJbXd2UlsRXwmXfuN7uYijez6Zr6NKiitF9ZbX_XSk9bLEvGN6xFNP6Z7Bmlv6E3e5qs-4qr1IJfCVLoC02pY2eAfiVJAFV5xJqkcRKltl_bd8m7NXg==,programs.nal.usda.gov,https://na91.alma.exlibrisgroup.com/view/sru/@1NAL_INST,0,,2,,
6,Submission,https://submit.nal.usda.gov/rest/v2/submissions?page={0}&newer-than={1},usda_funder_id,"100000199",0,,programs.nal.usda.gov,https://na91.alma.exlibrisgroup.com/view/sru/@1NAL_INST,1,0,3,,
