id,api_meta_type,base_url,identifier_code,identifier_type,last_pull_time,api_switch,is_token_required,site_token,minimum_delivery_fq,last_pull_status,last_error_message,next_due_date,proxy_host_url,external_library_url,is_paginated,page_number,last_accessed_page,email_notification_id,provider_id
1,Chorus,https://api.chorusaccess.org,100000199,usda_funder_id,2024-04-11 16:19:22.713991,0,0,,1,success,N/A,2024-04-12 21:49:22.037393,programs-cbo.nal.usda.gov,,0,,,,1
2,CrossRef,https://api.crossref.org,100000199,usda_funder_id,2024-04-11 15:15:27.883876,0,1,gAAAAABmF_6P4NrStCTvWbshheHfwqL4_zUCGDTszciILmYqqUsTlYifakRy6z4R64TmN1x-wCJozEtksIUvaoaTO0L810sWooae-uKQZmyeQ2725EyK73Z-tqqdcyHH2avqJ2vR6vWC5RqJtxSoC1i7xk3jGFw-gyqmbB0PZxfOojVhAau1OvGowvSb4t0fjZF6eX6N9gpKDh6hLNzXZkVZHw4P4vJnfFcvWFPZxhtLBzgsJc0z8uGCtzhb6gMlEWz53pkBn0LXm7cssqR5wFHDsCgcTYRNseWJcQSxEumr2yL8aqMHgEnv4zR6G1d8YHhtk4VH54GdJ04c3-wEuzXPUmzGhHpjnA==,1,success,N/A,2024-04-12 20:45:27.883876,programs.nal.usda.gov,https://na91.alma.exlibrisgroup.com/view/sru/@1NAL_INST,0,,,,2
3,Submission,https://submit.nal.usda.gov/rest/v2/submissions?page={0}&newer-than={1},100000199,usda_funder_id,2024-04-12 09:28:15.614097,0,0,,1,failed,No record found,2024-04-13 14:58:14.970659,programs.nal.usda.gov,https://na91.alma.exlibrisgroup.com/view/sru/@1NAL_INST,1,0,0,,3
